title,description,videoId,uploadDate,viewCount,likeCount,commentCount
,,,,,,
Canadian politicians react to Trump calling Trudeau governor of Canada,"President-elect Donald Trump took a jab at Justin Trudeau in a social media post Tuesday, calling him 'Governor Justin Trudeau ...",5H01wTH4bgM,2024-12-10T21:00:49Z,191138,2362,0
,,,,,,
Backlog of critical documents grows as Canada Post strike drags on,"The ongoing Canada Post strike has left thousands in limbo as they wait on crucial documents, such as passports and some ...",d5GgCi58QpM,2024-12-11T03:03:05Z,14189,98,0
,,,,,,
Trump again teases Canadian takeover with 'governor' Trudeau post,"U.S. president-elect Donald Trump again suggested Canada should join the United States, this time in a social media post where ...",qJJ0lwyKPyE,2024-12-11T03:02:01Z,17649,193,0
,,,,,,
Canadian politicians react to Trump calling Trudeau governor of Canada,"President-elect Donald Trump took a jab at Justin Trudeau in a social media post Tuesday, calling him 'Governor Justin Trudeau ...",5H01wTH4bgM,2024-12-10T21:00:49Z,192225,2372,0
,,,,,,
Backlog of critical documents grows as Canada Post strike drags on,"The ongoing Canada Post strike has left thousands in limbo as they wait on crucial documents, such as passports and some ...",d5GgCi58QpM,2024-12-11T03:03:05Z,14204,99,0
,,,,,,
Trump again teases Canadian takeover with 'governor' Trudeau post,"U.S. president-elect Donald Trump again suggested Canada should join the United States, this time in a social media post where ...",qJJ0lwyKPyE,2024-12-11T03:02:01Z,17649,193,0
,,,,,,
"India weaponizing travel visas to silence critics, Sikh community says",A Global News investigation has uncovered evidence that India is using visas to conduct foreign interference. Travel visas are ...,ywfm5ZzP4ro,2024-12-10T14:01:18Z,16050,128,169
,,,,,,
Canada Immigration LIVE Q&amp;A with Alicia and Mark,BOOK AN IMMIGRATION CONSULTATION: https://bit.ly/3QBDyf6 ---- CANADIAN IMMIGRATION INSTITUTE COMMUNITY: ...,b5eVzxrw8nU,2024-12-11T18:52:40Z,2075,30,10
,,,,,,
does canada have an immigration problem?,"""Do not mistreat or oppress a foreigner, for you were foreigners in Egypt."" - Exodus 22:21 A lot of Canadians have strong opinions ...",kL67QfFCn0A,2024-12-10T15:00:48Z,5113,528,168
,,,,,,
